year,office,county,party,candidate,electionType,votes
2002,senate,brooks,libertarian,sandy thomas,general,43
2002,senate,brooks,republican,robert (bob) brown,primary,27
2002,senate,brooks,republican,bob irvin,primary,29
2002,senate,brooks,republican,saxby chambliss,primary,183
2002,senate,brooks,republican,saxby chambliss,general,1403
2002,senate,brooks,democratic,max cleveland,primary,888
2002,senate,brooks,democratic,max cleland,general,1506
2002,senate,butts,libertarian,sandy thomas,general,51
2002,senate,butts,republican,robert (bob) brown,primary,124
2002,senate,butts,republican,bob irvin,primary,289
2002,senate,butts,republican,saxby chambliss,primary,566
2002,senate,butts,republican,saxby chambliss,general,2705
2002,senate,butts,democratic,max cleveland,primary,1531
2002,senate,butts,democratic,max cleland,general,2011
2002,senate,clayton,libertarian,sandy thomas,general,656
2002,senate,clayton,republican,robert (bob) brown,primary,730
2002,senate,clayton,republican,bob irvin,primary,1577
2002,senate,clayton,republican,saxby chambliss,primary,2432
2002,senate,clayton,republican,saxby chambliss,general,12635
2002,senate,clayton,democratic,max cleveland,primary,18036
2002,senate,clayton,democratic,max cleland,general,30760
2002,senate,webster,libertarian,sandy thomas,general,7
2002,senate,webster,republican,robert (bob) brown,primary,7
2002,senate,webster,republican,bob irvin,primary,20
2002,senate,webster,republican,saxby chambliss,primary,64
2002,senate,webster,republican,saxby chambliss,general,289
2002,senate,webster,democratic,max cleveland,primary,146
2002,senate,webster,democratic,max cleland,general,444
2002,senate,coweta,libertarian,sandy thomas,general,306
2002,senate,coweta,republican,robert (bob) brown,primary,1014
2002,senate,coweta,republican,bob irvin,primary,2201
2002,senate,coweta,republican,saxby chambliss,primary,4420
2002,senate,coweta,republican,saxby chambliss,general,16665
2002,senate,coweta,democratic,max cleveland,primary,2168
2002,senate,coweta,democratic,max cleland,general,8067
2002,senate,chatham,libertarian,sandy thomas,general,547
2002,senate,chatham,republican,robert (bob) brown,primary,1283
2002,senate,chatham,republican,bob irvin,primary,2086
2002,senate,chatham,republican,saxby chambliss,primary,8731
2002,senate,chatham,republican,saxby chambliss,general,27927
2002,senate,chatham,democratic,max cleveland,primary,13168
2002,senate,chatham,democratic,max cleland,general,30840
2002,senate,decatur,libertarian,sandy thomas,general,78
2002,senate,decatur,republican,robert (bob) brown,primary,73
2002,senate,decatur,republican,bob irvin,primary,73
2002,senate,decatur,republican,saxby chambliss,primary,270
2002,senate,decatur,republican,saxby chambliss,general,2627
2002,senate,decatur,democratic,max cleveland,primary,1796
2002,senate,decatur,democratic,max cleland,general,2777
2002,senate,pike,libertarian,sandy thomas,general,43
2002,senate,pike,republican,robert (bob) brown,primary,224
2002,senate,pike,republican,bob irvin,primary,449
2002,senate,pike,republican,saxby chambliss,primary,1130
2002,senate,pike,republican,saxby chambliss,general,2686
2002,senate,pike,democratic,max cleveland,primary,976
2002,senate,pike,democratic,max cleland,general,1419
2002,senate,walton,libertarian,sandy thomas,general,249
2002,senate,walton,republican,robert (bob) brown,primary,753
2002,senate,walton,republican,bob irvin,primary,2039
2002,senate,walton,republican,saxby chambliss,primary,3756
2002,senate,walton,republican,saxby chambliss,general,10672
2002,senate,walton,democratic,max cleveland,primary,1719
2002,senate,walton,democratic,max cleland,general,4992
2002,senate,franklin,libertarian,sandy thomas,general,70
